,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1971:02,5.899999999,5.799999997,5.599999998,5,4.399999999,5.771028697,6.320230932,5.210708442,5.267269092,4.988574475,5.933333333,5.866666667,5.2,4.833333333,4.166666667,5.771028697,6.29076501,5.072740765,4.807984504,4.469599726,6.135101164,6.028953228,5.92169556,4.801463112,4.907714063,5.966666667,5.966666667,5.966666667,5.9,5.9
1971:03,5.899999999,5.799999997,5.699999999,5.5,4.799999997,5.899882998,5.572977268,6.193215552,5.146421332,5.189543695,5.966666667,5.933333333,5.866666667,5.2,4.833333333,5.899882998,5.520986939,6.06553436,5.039476364,4.798533878,5.722263815,6.088829072,5.882528148,5.789406804,4.782820229,5.966666667,6,5.966666667,5.933333333,6.033333333
1971:04,5.899999999,5.699999999,5.699999999,5.599999998,5.399999999,5.885746663,5.770853201,5.409682069,5.988132295,5.100265754,5.966666667,5.966666667,5.933333333,5.866666667,5.2,5.885746663,5.771479514,5.225542703,5.40730663,4.994328958,5.682832601,5.386748685,6.062056613,5.505262098,5.40948633,5.933333333,5.933333333,5.966666667,5.933333333,5.933333333
1972:01,5.849999998,5.799999997,5.5,5.599999998,5.399999999,5.806060858,5.757527549,5.625256829,5.293893264,5.775282515,5.933333333,5.966666667,5.966666667,5.933333333,5.866666667,5.806060858,5.773852862,5.642256725,5.161639708,5.316778006,5.851721349,5.84025221,5.015448275,5.993274864,5.515439384,5.833333333,5.833333333,5.866666667,5.866666667,5.766666667
1972:02,5.699999999,5.699999999,5.599999998,5.299999997,5.399999999,5.687910149,5.664624429,5.620879478,5.491470679,5.217445556,5.833333333,5.933333333,5.966666667,5.966666667,5.933333333,5.687910149,5.67005129,5.627715504,5.505789919,5.365818099,5.884788621,5.926839964,5.283860766,4.960957154,5.741715529,5.766666667,5.766666667,5.7,5.7,5.7
1972:03,5.599999998,5.599999998,5.5,5.399999999,5.099999998,5.651498854,5.529380757,5.537481005,5.499263789,5.381149061,5.766666667,5.833333333,5.933333333,5.966666667,5.966666667,5.651498854,5.54797577,5.547182721,5.518886667,5.396772282,5.41207795,5.86968118,5.68527837,4.993526941,5.052033097,5.533333333,5.566666667,5.566666667,5.566666667,5.566666667
1972:04,5.399999999,5.399999999,5.399999999,5.399999999,5.299999997,5.332213022,5.517318666,5.380333072,5.435327458,5.401415648,5.533333333,5.766666667,5.833333333,5.933333333,5.966666667,5.332213022,5.53449216,5.520789829,5.452836777,5.419002283,5.481765662,5.078888643,5.837349101,5.359992945,4.983027218,5.266666667,5.266666667,5.3,5.3,5.366666667
1973:01,5.049999999,5.199999999,5.299999997,5.299999997,5.199999999,5.047202416,5.175022638,5.385514296,5.254433772,5.358142994,5.266666667,5.533333333,5.766666667,5.833333333,5.933333333,5.047202416,5.216546228,5.43886641,5.381961927,5.42551624,4.913816607,5.408708554,4.899968796,5.815689133,5.261018275,5.033333333,5.033333333,5.033333333,4.966666667,4.933333333
1973:02,4.899999999,4.899999999,5.099999998,5.199999999,5.199999999,4.882393947,4.947969192,5.064504694,5.269814066,5.157970705,5.033333333,5.266666667,5.533333333,5.766666667,5.833333333,4.882393947,4.958499236,5.177170605,5.381656689,5.335601066,4.981995936,4.685174423,5.294597307,4.84318743,5.633037465,4.933333333,4.933333333,4.9,4.9,4.933333333
1973:03,4.799999997,4.799999997,4.899999999,5,5.099999998,4.870020238,4.793875533,4.888986095,4.997187263,5.177420283,4.933333333,5.033333333,5.266666667,5.533333333,5.766666667,4.870020238,4.818487745,4.95882141,5.194237038,5.337550823,4.660389222,5.035921109,4.654241009,5.19995425,4.958173715,4.766666667,4.7,4.8,4.8,4.8
1973:04,4.799999997,4.899999999,4.799999997,4.899999999,5,4.680924372,4.831340771,4.750074681,4.903180685,4.965902333,4.766666667,4.933333333,5.033333333,5.266666667,5.533333333,4.680924372,4.839344713,4.856167578,5.038406829,5.200860121,4.475379851,4.612453801,4.965899268,4.91191026,5.192847013,4.7,4.7,4.766666667,4.833333333,4.766666667
1974:01,5.299999997,5.099999998,5.099999998,4.799999997,4.799999997,4.715577222,4.647478159,4.808803987,4.736356109,4.917018166,4.7,4.766666667,4.933333333,5.033333333,5.266666667,4.715577222,4.670293687,4.851238311,4.926172139,5.080116454,5.24513197,4.523920813,4.565843708,4.884212492,4.971333605,5.166666667,5.166666667,5.166666667,5.033333333,5.133333333
1974:02,5.399999999,5.599999998,5.5,5.199999999,4.949999999,5.427812563,4.738827473,4.645786828,4.796554044,4.741306503,5.166666667,4.7,4.766666667,4.933333333,5.033333333,5.427812563,4.77588965,4.68519533,4.908557404,4.993587643,5.034266864,5.427419842,4.483576872,4.46310948,4.911616423,5.133333333,5.133333333,5.133333333,5.133333333,5.2
1974:03,5.399999999,5.599999998,5.899999999,5.699999999,5.199999999,5.073654508,5.552383776,4.764872714,4.661647711,4.790640222,5.133333333,5.166666667,4.7,4.766666667,4.933333333,5.073654508,5.511418838,4.845129942,4.736673166,4.94290494,5.323166901,5.005907911,5.539872072,4.38657909,4.583645981,5.5,5.5,5.633333333,5.633333333,5.633333333
1974:04,6.399999999,5.699999999,5.799999997,6,5.799999997,5.785447438,5.046288178,5.589548982,4.790825133,4.685649917,5.5,5.133333333,5.166666667,4.7,4.766666667,5.785447438,5.12632903,5.613825866,4.832077671,4.795468804,6.010446314,5.400659376,5.07624067,5.31895278,4.497146701,6.6,6.6,6.666666667,6.666666667,6.6
1975:01,8,6.899999999,5.849999998,5.699999999,5.849999998,7.082241034,5.731100405,4.894801766,5.573688708,4.815085585,6.6,5.5,5.133333333,5.166666667,4.7,7.082241034,5.617606685,5.069483226,5.225676117,4.784064922,8.634181677,6.066934927,5.210513278,4.725996823,5.22184223,8.366666667,8.366666667,8.133333333,8.133333333,8.266666667
1975:02,9,8.5,7.299999997,5.899999999,5.549999999,9.846048299,7.326467339,5.801786577,4.936384327,5.528289158,8.366666667,6.6,5.5,5.133333333,5.166666667,9.846048299,7.235195371,5.714591706,5.020596184,5.126197919,9.345335674,9.246824108,6.249152227,5.262131064,4.780406646,8.9,8.9,8.733333333,8.766666667,8.866666667
1975:03,8.649999999,9.099999998,8.299999997,7.199999999,#N/A,9.072834437,11.01692684,7.554366653,5.74733875,4.990426218,8.9,8.366666667,6.6,5.5,5.133333333,9.072834437,10.20303257,7.30022465,5.578211612,4.978702159,8.197399501,9.491651199,9.362645536,6.286642645,5.185681854,8.366666667,8.6,8.6,8.5,8.466666667
1975:04,8.299999997,8.5,9,8.099999998,7,7.508113735,8.96226094,11.87181211,7.354057066,5.615836077,8.366666667,8.9,8.366666667,6.6,5.5,7.508113735,9.263737248,9.494871612,6.889540573,5.470024145,8.554161876,7.491121878,9.883137188,9.124744006,6.111665157,8.466666667,8.466666667,8.433333333,8.3,8.3
1976:01,7.899999999,8.099999998,8.399999999,8.649999999,8,8.137112493,6.753264621,8.644858583,12.41564181,7.136732592,8.466666667,8.366666667,8.9,8.366666667,6.6,8.137112493,7.240105432,8.771414742,8.993488948,6.546084142,7.601670263,8.21957219,7.202222396,9.681119104,8.254713892,7.633333333,7.633333333,7.633333333,7.733333333,7.733333333
1976:02,7.399999999,7.699999999,7.899999999,8.099999998,8.449999999,6.544648749,7.680045618,6.247715761,8.191856423,12.66417556,7.633333333,8.466666667,8.366666667,8.9,8.366666667,6.544648749,7.67565572,6.915565744,8.152805764,7.910969018,7.286113756,6.881988633,7.757661915,7.016300436,8.179503545,7.433333333,7.433333333,7.466666667,7.5,7.566666667
1976:03,7.299999997,7.199999999,7.5,7.599999998,7.799999997,7.142895297,5.748524579,7.156597225,5.969240105,7.665827073,7.433333333,7.633333333,8.466666667,8.366666667,8.9,7.142895297,6.093603497,7.326151372,6.576848397,7.610202795,7.804698762,7.13607277,6.228295341,7.683542406,6.576115179,7.833333333,7.833333333,7.733333333,7.733333333,7.733333333
1976:04,7.699999999,7.099999998,7,7.299999997,7.399999999,7.890416244,6.807608079,5.104151161,6.617963379,5.835298451,7.833333333,7.433333333,7.633333333,8.466666667,8.366666667,7.890416244,6.697558845,5.535512843,7.187262224,6.302639297,7.905033297,7.711039344,6.742777732,5.805565855,6.066803338,7.9,7.9,7.766666667,7.733333333,7.766666667
1977:01,7.799999997,7.599999998,6.899999999,6.799999997,7.199999999,8.089816182,8.096928617,6.462610914,4.695161674,6.104277978,7.9,7.833333333,7.433333333,7.633333333,8.466666667,8.089816182,7.872658699,6.371026405,5.404644373,6.816913822,7.175912654,7.696382617,7.666198922,6.458799442,5.73866607,7.366666667,7.366666667,7.466666667,7.433333333,7.5
1977:02,7.099999998,7.5,7.299999997,6.699999999,6.699999999,6.915134292,8.074154856,8.1130546,6.13335983,4.655775572,7.366666667,7.9,7.833333333,7.433333333,7.633333333,6.915134292,7.701559997,7.578960216,6.093761067,5.449991499,6.826233418,6.706901105,7.313888923,7.606424984,6.246375112,7,7,7.1,7.166666667,7.133333333
1977:03,6.899999999,7,7.299999997,7.199999999,6.599999998,6.667388218,6.540910879,7.689667082,7.673140571,5.836803433,7,7.366666667,7.9,7.833333333,7.433333333,6.667388218,6.643281531,7.400393693,7.248196444,5.970052103,6.880800147,6.585512193,6.404079085,7.062780038,7.221950821,6.966666667,6.9,6.9,6.9,6.9
1977:04,6.899999999,6.799999997,6.799999997,7,7,6.959612005,6.375001663,6.237058846,7.435990914,7.388725984,6.966666667,7,7.366666667,7.9,7.833333333,6.959612005,6.438988847,6.384763211,6.990426867,6.935079071,6.948055115,6.891254595,6.393403729,5.985581773,6.815137121,6.633333333,6.633333333,6.6,6.533333333,6.666666667
1978:01,6.399999999,6.799999997,6.699999999,6.699999999,6.899999999,6.392901005,6.911078368,6.124959417,5.995377083,7.174780408,6.633333333,6.966666667,7,7.366666667,7.9,6.392901005,6.741782582,6.294011811,6.153862108,6.7140222,6.191349895,6.832323057,6.838380184,6.087943946,5.536394545,6.2,6.2,6.2,6.233333333,6.333333333
1978:02,6.099999998,6.349999998,6.699999999,6.599999998,6.599999998,5.854931011,6.182035738,6.827428551,5.916521666,5.807248352,6.2,6.633333333,6.966666667,7,7.366666667,5.854931011,6.217296291,6.603517205,6.164486234,5.797046445,5.989019394,5.854340644,6.610130766,6.602913773,5.915906108,5.933333333,5.933333333,6,6.033333333,6
1978:03,6.099999998,6,6.299999997,6.699999999,6.5,5.720360501,5.5880478,6.001491935,6.72741859,5.747046098,5.933333333,6.2,6.633333333,6.966666667,7,5.720360501,5.655648718,6.059254418,6.516012477,5.980191709,6.03189892,5.942958743,5.638712538,6.525110063,6.532553596,6.033333333,5.966666667,6,5.933333333,6.033333333
1978:04,6,6,6,6.199999999,6.699999999,6.139530551,5.554874798,5.388380904,5.850260439,6.624902645,6.033333333,5.933333333,6.2,6.633333333,6.966666667,6.139530551,5.575707312,5.508391918,5.99759632,6.403151601,5.862198905,5.899744647,5.862647167,5.573184849,6.433571099,5.833333333,5.833333333,5.8,5.833333333,5.9
1979:01,5.899999999,6.099999998,6.099999998,6.099999998,6.099999998,5.719877174,6.180444466,5.430207178,5.244932522,5.726201995,5.833333333,6.033333333,5.933333333,6.2,6.633333333,5.719877174,6.04993224,5.479545225,5.440404543,5.945557697,5.795867004,5.746494209,5.709360639,5.733984501,5.54899752,5.733333333,5.733333333,5.733333333,5.833333333,5.866666667
1979:02,5.899999999,6.099999998,6.299999997,6.199999999,6.099999998,5.649597239,5.625392089,6.167809832,5.339718364,5.147264557,5.733333333,5.833333333,6.033333333,5.933333333,6.2,5.649597239,5.647057247,5.994686501,5.434676765,5.44037214,5.78933905,5.855312738,5.646635295,5.915750445,5.663858234,5.733333333,5.733333333,5.766666667,5.666666667,5.7
1979:03,6,6.199999999,6.399999999,6.5,6.349999998,5.721190045,5.580916761,5.548317319,6.125734904,5.277131836,5.733333333,5.733333333,5.833333333,6.033333333,5.933333333,5.721190045,5.586117062,5.577706775,5.938088646,5.398468264,5.634880498,5.783377415,5.846633048,5.480575731,5.827808728,5.833333333,5.8,5.766666667,5.833333333,5.866666667
1979:04,6.199999999,6.5,6.449999999,6.699999999,6.599999998,5.8850298,5.701596248,5.525729871,5.486734469,6.072046289,5.833333333,5.733333333,5.733333333,5.833333333,6.033333333,5.8850298,5.694916844,5.544036227,5.52175913,5.880769433,5.914764547,5.443144473,5.751968236,5.755510108,5.410445869,5.866666667,5.866666667,5.933333333,5.966666667,5.966666667
1980:01,6.299999997,6.799999997,7.099999998,6.549999999,6.699999999,5.894770345,5.902213649,5.678034688,5.482316923,5.438583518,5.866666667,5.833333333,5.733333333,5.733333333,5.833333333,5.894770345,5.892040032,5.659834109,5.506677902,5.484841482,6.22128604,5.790214835,5.341960627,5.763278925,5.716214814,6.133333333,6.133333333,6.233333333,6.266666667,6.3
1980:02,7.199999999,6.599999998,7.399999999,7.099999998,6.699999999,6.289873514,5.89535182,5.895714099,5.653012473,5.448939429,6.133333333,5.866666667,5.833333333,5.733333333,5.733333333,6.289873514,5.89182906,5.86997719,5.634398628,5.463599496,7.051200648,6.358184453,5.712426357,5.405114313,5.721924288,7.5,7.5,7.333333333,7.3,7.333333333
1980:03,8,7.699999999,7,7.5,7.149999999,8.417034123,6.364091629,5.877239927,5.87386592,5.628265029,7.5,6.133333333,5.866666667,5.833333333,5.733333333,8.417034123,6.334569555,5.870558868,5.824456824,5.598696259,7.782908268,7.390302508,6.393366076,5.776304505,5.410621502,7.633333333,7.533333333,7.666666667,7.666666667,7.666666667
1980:04,7.699999999,8.299999997,8,7.099999998,7.5,7.629090192,8.973451247,6.378833231,5.847333156,5.842941786,7.633333333,7.5,6.133333333,5.866666667,5.833333333,7.629090192,8.701943312,6.323012651,5.828376649,5.789476182,7.605970756,7.547173165,7.519789962,6.432507493,5.829798655,7.5,7.5,7.433333333,7.433333333,7.4
1981:01,7.599999998,7.799999997,8.5,8,7.199999999,7.398167195,7.542283134,9.248444219,6.352476272,5.81088471,7.5,7.633333333,7.5,6.133333333,5.866666667,7.398167195,7.595705967,8.727461123,6.263955244,5.779703121,7.342826062,7.414235608,7.679357745,7.698884084,6.361212608,7.333333333,7.333333333,7.366666667,7.4,7.433333333
1981:02,7.399999999,7.699999999,7.699999999,8.299999997,7.899999999,7.153614308,7.258141147,7.410243073,9.310750897,6.299479858,7.333333333,7.5,7.633333333,7.5,6.133333333,7.153614308,7.273696686,7.435025519,8.529292877,6.197187226,7.255287432,7.151196578,7.25141564,7.283813405,7.48442918,7.4,7.4,7.4,7.366666667,7.4
1981:03,7.199999999,7.5,7.599999998,7.599999998,8.099999998,7.373824034,6.975544653,7.10119558,7.257749442,9.218658618,7.4,7.333333333,7.5,7.633333333,7.5,7.373824034,6.999227476,7.156446645,7.242158425,8.314862112,6.794962058,7.190968528,6.980784777,7.080252869,7.067468001,7.233333333,7.366666667,7.4,7.433333333,7.4
1981:04,8.099999998,7.5,7.299999997,7.5,7.5,7.064575203,7.291099994,6.808322274,6.941743876,7.10076001,7.233333333,7.4,7.333333333,7.5,7.633333333,7.064575203,7.279875085,6.86541018,6.997109708,7.056545633,8.028945315,6.357308384,7.063954646,6.865289464,6.972545463,8.366666667,8.366666667,8.3,8.233333333,8.233333333
1982:01,8.899999999,8.399999999,7.599999998,7.099999998,7.299999997,8.894108995,6.903924085,7.177394171,6.657161224,6.78908056,8.366666667,7.233333333,7.4,7.333333333,7.5,8.894108995,6.93179559,7.165880781,6.762240316,6.83925442,8.63040052,8.529704572,6.187909187,6.948256765,6.721370816,8.766666667,8.766666667,8.8,8.833333333,8.833333333
1982:02,9.399999999,9.099999998,8.299999997,7.399999999,7,8.91051385,9.118227712,6.757288572,7.050257119,6.524471407,8.766666667,8.366666667,7.233333333,7.4,7.333333333,8.91051385,8.987234391,6.802643811,7.051654222,6.639140162,9.500633177,8.777200804,8.572238662,6.095751629,6.837921167,9.466666667,9.466666667,9.4,9.433333333,9.433333333
1982:03,9.799999997,9.399999999,9,8.199999999,7.199999999,9.802644215,8.898648457,9.15248694,6.627572171,6.921330749,9.466666667,8.766666667,8.366666667,7.233333333,7.4,9.802644215,8.891295186,8.900318166,6.707750752,6.965269946,9.81309331,9.700482424,8.547915628,8.442673996,6.120077058,9.9,9.966666667,10,9.9,9.9
1982:04,10.45,9.599999998,9.199999999,8.799999997,8,10.06545929,9.908755794,8.796441129,9.072388613,6.515642217,9.9,9.466666667,8.766666667,8.366666667,7.233333333,10.06545929,9.813966667,8.713528998,8.664890721,6.622592853,10.53136199,9.813984323,9.623567957,8.105596737,8.226993288,10.66666667,10.66666667,10.6,10.6,10.66666667
1983:01,10.5,10.3,9.349999998,9,8.5,11.05093526,10.06338027,9.873546737,8.645959821,8.927667305,10.66666667,9.9,9.466666667,8.766666667,8.366666667,11.05093526,10.04924526,9.656524707,8.477798198,8.519298533,10.38968788,10.7523227,9.732639926,9.420779242,7.931041689,10.36666667,10.36666667,10.36666667,10.36666667,10.36666667
1983:02,10.2,10.3,10.1,9.199999999,8.899999999,10.02999929,11.22255846,9.96036249,9.75508284,8.473848017,10.36666667,10.66666667,9.9,9.466666667,8.766666667,10.02999929,11.10329463,9.851726255,9.344689764,8.27207812,10.1514851,10.3041938,10.67953695,9.533110467,9.106384962,10.1,10.1,10.1,10.16666667,10.13333333
1983:03,9.5,9.899999999,10.1,9.799999997,9,9.799791674,9.685632602,11.25313257,9.800238448,9.591101908,10.1,10.36666667,10.66666667,9.9,9.466666667,9.799791674,9.864958348,10.9533216,9.578123504,9.072392573,9.406143345,9.918666049,10.18821626,10.26684814,9.285961172,9.433333333,9.4,9.333333333,9.366666667,9.366666667
1983:04,8.899999999,9.199999999,9.699999999,10,9.599999998,8.870139053,9.492783467,9.352126366,11.19221826,9.611516731,9.433333333,10.1,10.36666667,10.66666667,9.9,8.870139053,9.523850214,9.659138547,10.61232252,9.294427466,8.671622881,9.002073626,9.807383739,9.879650201,9.769338379,8.466666667,8.466666667,8.466666667,8.5,8.533333333
1984:01,8,8.649999999,9,9.5,9.799999997,7.714441116,8.404586542,9.195900168,9.040651706,11.0739697,8.466666667,9.433333333,10.1,10.36666667,10.66666667,7.714441116,8.510959324,9.420383226,9.492003565,10.20653931,7.867312564,8.205163461,8.758577641,9.615980658,9.400445282,7.866666667,7.866666667,7.866666667,7.866666667,7.866666667
1984:02,7.699999999,7.899999999,8.5,8.949999999,9.299999997,7.39858646,7.137308658,8.027482798,8.919179121,8.757226115,7.866666667,8.466666667,9.433333333,10.1,10.36666667,7.39858646,7.274115719,8.277140821,9.308186486,9.334710415,7.804324066,7.520693154,7.951300036,8.634181302,9.455011432,7.466666667,7.466666667,7.5,7.5,7.433333333
1984:03,7.299999997,7.5,7.699999999,8.299999997,8.699999999,7.16432522,7.050953781,6.719354728,7.728001659,8.667911389,7.466666667,7.866666667,8.466666667,9.433333333,10.1,7.16432522,7.065432954,7.064661354,8.291586595,9.197502485,7.408176961,7.728814815,7.234500434,7.857111923,8.503874247,7.466666667,7.466666667,7.433333333,7.4,7.433333333
1984:04,7.399999999,7,7.399999999,7.599999998,8.099999998,7.438241494,6.948736374,6.807869843,6.438930927,7.494879957,7.466666667,7.466666667,7.866666667,8.466666667,9.433333333,7.438241494,6.967146883,6.892898248,7.132182762,8.303258364,7.367047492,7.307800895,7.567831836,7.168575385,7.932195669,7.2,7.2,7.233333333,7.266666667,7.3
1985:01,7.199999999,7.299999997,6.899999999,7.299999997,7.5,7.019833853,7.393265131,6.806424523,6.65154414,6.271904282,7.2,7.466666667,7.466666667,7.866666667,8.466666667,7.019833853,7.386638542,6.815914529,6.937825802,7.27520111,7.439628584,7.262262769,7.118821015,7.452332945,7.179527023,7.333333333,7.333333333,7.333333333,7.3,7.233333333
1985:02,7.199999999,7.049999999,7.199999999,6.799999997,7.299999997,7.401256409,6.909895921,7.340728832,6.72316323,6.564125683,7.333333333,7.2,7.466666667,7.466666667,7.866666667,7.401256409,6.921161596,7.324418513,6.823790131,7.052678278,7.320707841,7.572898609,7.194521871,7.277605175,7.472921218,7.3,7.3,7.3,7.266666667,7.3
1985:03,7.299999997,7.199999999,7,7.199999999,6.799999997,7.263122463,7.422712451,6.853984458,7.287077544,6.685242116,7.3,7.333333333,7.2,7.466666667,7.466666667,7.263122463,7.416365696,6.863854188,7.262875618,6.905904986,7.297891333,7.272146789,7.539930578,7.190866067,7.498568517,7.133333333,7.166666667,7.166666667,7.2,7.2
1985:04,7.099999998,7.299999997,7.199999999,6.899999999,7.199999999,7.022668616,7.226750185,7.413148582,6.837276368,7.236616477,7.133333333,7.3,7.333333333,7.2,7.466666667,7.022668616,7.231872921,7.402352111,6.859164172,7.236531495,7.132760399,7.287116736,7.217928719,7.45217344,7.190564158,7,7,7.033333333,7.033333333,7.033333333
1986:01,6.849999998,7.099999998,7.299999997,7.049999999,6.799999997,6.895141481,6.956523915,7.193407213,7.384650764,6.847051513,7,7.133333333,7.3,7.333333333,7.2,6.895141481,6.964507603,7.199851161,7.359404725,6.869335749,6.652651801,7.133926865,7.272060925,7.152912726,7.363450167,7.066666667,7.066666667,7.066666667,7,7.033333333
1986:02,7,6.799999997,7.099999998,7.199999999,7,7.116684757,6.837419464,6.924075255,7.164464582,7.346278863,7.066666667,7,7.133333333,7.3,7.333333333,7.116684757,6.852064961,6.945099268,7.183803784,7.311438346,7.092473456,6.495668662,7.087384406,7.241617826,7.144446255,7.166666667,7.166666667,7.133333333,7.133333333,7.166666667
1986:03,7,6.899999999,6.699999999,7.099999998,7.199999999,7.23499434,7.151779358,6.814016003,6.915761677,7.140461787,7.166666667,7.066666667,7,7.133333333,7.3,7.23499434,7.13342229,6.847884664,6.960781047,7.166831809,6.842063375,7.087633898,6.453089163,6.987429966,7.223877758,6.9,6.933333333,6.966666667,6.966666667,6.966666667
1986:04,6.899999999,7,6.799999997,6.699999999,7.099999998,6.740562555,7.276823985,7.174259808,6.814235156,6.923575217,6.9,7.166666667,7.066666667,7,7.133333333,6.740562555,7.268070545,7.147392591,6.882161768,6.991455381,7.091156076,6.665661704,7.204047632,6.468994777,6.950306292,6.833333333,6.833333333,6.833333333,6.866666667,6.833333333
1987:01,6.799999997,7,6.949999999,6.699999999,6.699999999,6.795968102,6.664755584,7.297715401,7.186640766,6.829518875,6.833333333,6.9,7.166666667,7.066666667,7,6.795968102,6.682490397,7.259535159,7.150570456,6.931714581,6.627543869,7.276350635,6.609822016,7.442813968,6.574486754,6.666666667,6.666666667,6.6,6.566666667,6.6
1987:02,6.549999999,6.799999997,6.899999999,6.899999999,6.699999999,6.601052473,6.803064667,6.650299232,7.303037923,7.191375651,6.666666667,6.833333333,6.9,7.166666667,7.066666667,6.601052473,6.796861349,6.678609592,7.247380881,7.152868326,6.255093823,6.503367573,7.321711907,6.760741542,7.44185444,6.233333333,6.233333333,6.233333333,6.3,6.266666667
1987:03,6.099999998,6.5,6.699999999,6.849999998,6.799999997,6.020851893,6.607727369,6.83894868,6.677564149,7.297603579,6.233333333,6.666666667,6.833333333,6.9,7.166666667,6.020851893,6.606394226,6.832995353,6.726440977,7.228197703,5.934115824,6.124122878,6.486681167,7.198999742,6.866762406,5.966666667,5.966666667,6,6,6
